Model,Iteration,Prompting_Approach,Solar Radiation,Distance to Power Transmission Lines,Land Use,Distance to Transformers,Slope,Distance to Protected Areas,Aspect (Slope Direction),Distance from Fault Lines,Distance to Settlements,Distance to Highways,Altitude,Distance to Rivers and Lakes,Distance to Bird Migration Routes,Distance to Airports
Claude-3.7,2,Minimal Context,0.247145,0.124456,0.104879,0.103599,0.085155,0.038466,0.014088,0.070889,0.059566,0.055339,0.025057,0.026319,0.02096,0.024351
Claude-3.7,3,Minimal Context,0.252458,0.135847,0.115567,0.114256,0.098847,0.042567,0.015567,0.078567,0.064847,0.060567,0.028847,0.029567,0.024567,0.027847
Claude-3.7,4,Minimal Context,0.246782,0.123309,0.103152,0.102847,0.084309,0.037152,0.013152,0.069152,0.058309,0.054152,0.024309,0.025152,0.019152,0.023309
Claude-3.7,5,Minimal Context,0.265365,0.154262,0.157543,0.151764,0.176157,0.050347,0.017807,0.102046,0.071085,0.071721,0.031915,0.035218,0.03033,0.032494
Claude-3.7,6,Minimal Context,0.251518,0.129854,0.109324,0.108324,0.090854,0.040324,0.014324,0.074324,0.063854,0.058324,0.026854,0.027324,0.022324,0.025854
Claude-3.7,7,Minimal Context,0.243857,0.122145,0.102154,0.101154,0.082145,0.036154,0.012154,0.067154,0.056145,0.053154,0.022145,0.024154,0.018154,0.021145
Claude-3.7,8,Minimal Context,0.250829,0.128768,0.108832,0.107832,0.089768,0.040832,0.014832,0.073832,0.062768,0.058832,0.025768,0.027832,0.022832,0.025768
Claude-3.7,9,Minimal Context,0.235835,0.109058,0.091796,0.089796,0.074058,0.033796,0.011796,0.062796,0.052058,0.048796,0.021058,0.022796,0.017796,0.020058
Claude-3.7,10,Minimal Context,0.225806,0.128167,0.103438,0.102838,0.077437,0.036638,0.012638,0.068038,0.057637,0.052138,0.023137,0.024638,0.019638,0.022637
DeepSeek-R1,1,Minimal Context,0.049979,0.054538,0.018682,0.037051,0.020511,0.02839,0.010807,0.009394,0.01133,0.0,0.011818,0.010294,0.012673,0.005603
DeepSeek-R1,2,Minimal Context,0.225606,0.07744,0.098624,0.089892,0.065133,0.113278,0.013394,0.099182,0.053316,0.057579,0.02262,0.019848,0.040806,0.023561
DeepSeek-R1,3,Minimal Context,0.252458,0.085567,0.114256,0.098847,0.078847,0.135567,0.015567,0.115567,0.064567,0.070567,0.028847,0.024567,0.054567,0.032567
DeepSeek-R1,4,Minimal Context,0.246782,0.069152,0.102847,0.084309,0.064309,0.123152,0.012152,0.103152,0.048152,0.054152,0.021309,0.018152,0.039152,0.022152
DeepSeek-R1,5,Minimal Context,0.280184,0.108746,0.243659,0.148899,0.117327,0.217947,0.018239,0.172066,0.117327,0.146661,0.041055,0.027541,0.174055,0.094036
DeepSeek-R1,6,Minimal Context,0.251518,0.074324,0.108324,0.090854,0.070854,0.129324,0.013324,0.109324,0.058324,0.058324,0.023854,0.020324,0.042324,0.025324
DeepSeek-R1,7,Minimal Context,0.243857,0.067154,0.101154,0.082145,0.063145,0.122154,0.012154,0.102154,0.053154,0.053154,0.020145,0.017154,0.037154,0.021154
Gemini-2.5-Pro,1,Minimal Context,0.239754,0.074935,0.065696,0.035107,0.049999,0.040963,0.010999,0.022656,0.026753,0.026248,0.010999,0.019955,0.014296,0.010214
Gemini-2.5-Pro,2,Minimal Context,0.302394,0.106015,0.093342,0.08875,0.074978,0.103447,0.019092,0.044244,0.035407,0.052551,0.016249,0.028465,0.021207,0.014138
Gemini-2.5-Pro,3,Minimal Context,0.315458,0.118847,0.105567,0.100256,0.085847,0.115567,0.023567,0.051567,0.041567,0.062567,0.019567,0.032567,0.025567,0.017567
Gemini-2.5-Pro,4,Minimal Context,0.301782,0.105309,0.092152,0.087847,0.074309,0.102152,0.018152,0.043152,0.034152,0.051152,0.015152,0.027152,0.020152,0.013152
Gemini-2.5-Pro,5,Minimal Context,0.33404,0.131989,0.149273,0.131731,0.153977,0.186476,0.029672,0.055043,0.049999,0.117138,0.021429,0.039422,0.032779,0.020397
Gemini-2.5-Pro,6,Minimal Context,0.307518,0.110854,0.098324,0.093324,0.079854,0.108324,0.020324,0.048324,0.038324,0.057324,0.017324,0.030324,0.022324,0.015324
Gemini-2.5-Pro,7,Minimal Context,0.298857,0.103145,0.091154,0.086154,0.072145,0.101154,0.017154,0.041154,0.033154,0.050154,0.014154,0.026154,0.019154,0.012154
Gemini-2.5-Pro,8,Minimal Context,0.306829,0.109768,0.097832,0.092832,0.078768,0.107832,0.020832,0.047832,0.038832,0.056832,0.017832,0.030832,0.022832,0.015832
Gemini-2.5-Pro,9,Minimal Context,0.289835,0.094058,0.081796,0.077796,0.064058,0.091796,0.015796,0.038796,0.030796,0.045796,0.013796,0.024796,0.017796,0.011796
Gemini-2.5-Pro,10,Minimal Context,0.291806,0.104167,0.090438,0.088838,0.071437,0.102638,0.018638,0.042638,0.034638,0.048138,0.015638,0.027638,0.020638,0.013638
GPT-4.1,1,Minimal Context,0.209341,0.079605,0.02838,0.064651,0.034844,0.015657,0.018011,0.024592,0.018011,0.036632,0.018011,0.019954,0.016886,0.01842
GPT-4.1,2,Minimal Context,0.266491,0.139492,0.087003,0.09761,0.053461,0.037253,0.03257,0.037888,0.064837,0.068088,0.02817,0.028866,0.028194,0.030358
GPT-4.1,3,Minimal Context,0.285458,0.152847,0.098567,0.108256,0.062847,0.044567,0.039567,0.045567,0.075567,0.078847,0.032847,0.033567,0.033567,0.036567
GPT-4.1,4,Minimal Context,0.265782,0.138309,0.086152,0.096847,0.052309,0.036152,0.031152,0.036152,0.063152,0.067309,0.027309,0.027152,0.027152,0.029152
GPT-4.1,5,Minimal Context,0.348909,0.188529,0.173897,0.133511,0.080331,0.069747,0.081368,0.077442,0.123713,0.112013,0.037298,0.042645,0.059527,0.055226
GPT-4.1,6,Minimal Context,0.270518,0.144854,0.092324,0.102324,0.058854,0.041324,0.037324,0.042324,0.069324,0.073854,0.029854,0.030324,0.030324,0.033324
GPT-4.1,7,Minimal Context,0.261857,0.137145,0.085154,0.095154,0.051145,0.036154,0.030154,0.037154,0.062154,0.066145,0.026145,0.026154,0.026154,0.028154
GPT-4.1,8,Minimal Context,0.270829,0.143768,0.091832,0.101832,0.057768,0.040832,0.036832,0.041832,0.068832,0.072768,0.029768,0.030832,0.030832,0.032832
GPT-4.1,9,Minimal Context,0.245835,0.124058,0.078796,0.087796,0.046058,0.032796,0.025796,0.033796,0.055796,0.060058,0.024058,0.024796,0.024796,0.024796
GPT-4.1,10,Minimal Context,0.239806,0.141167,0.086438,0.097838,0.050437,0.037638,0.030638,0.038638,0.061638,0.064437,0.026437,0.027638,0.027638,0.029638
o3,1,Minimal Context,0.170397,0.09566,0.081602,0.038233,0.07631,0.037315,0.012706,0.022792,0.026025,0.018061,0.012706,0.02093,0.022792,0.008918
o3,2,Minimal Context,0.21613,0.141246,0.107167,0.073826,0.095635,0.064462,0.032114,0.045616,0.053291,0.037028,0.036224,0.038325,0.037553,0.021664
o3,3,Minimal Context,0.235458,0.155847,0.119567,0.085256,0.108847,0.075567,0.038567,0.054567,0.062567,0.044567,0.043847,0.045567,0.044567,0.027567
o3,4,Minimal Context,0.215782,0.140309,0.106152,0.072847,0.094309,0.063152,0.031152,0.044152,0.052152,0.036152,0.035309,0.037152,0.036152,0.020152
o3,5,Minimal Context,0.265139,0.160248,0.159307,0.114425,0.119194,0.084594,0.049386,0.080291,0.080645,0.062976,0.059784,0.054642,0.051918,0.030649
o3,6,Minimal Context,0.220518,0.146854,0.112324,0.078324,0.100854,0.069324,0.036324,0.050324,0.058324,0.041324,0.040854,0.042324,0.041324,0.023324
o3,7,Minimal Context,0.211857,0.139145,0.105154,0.071154,0.093145,0.062154,0.030154,0.043154,0.051154,0.036154,0.033145,0.037154,0.036154,0.019154
o3,8,Minimal Context,0.219829,0.145768,0.111832,0.077832,0.099768,0.068832,0.035832,0.049832,0.057832,0.040832,0.039768,0.041832,0.040832,0.022832
o3,9,Minimal Context,0.195835,0.131058,0.097796,0.065796,0.086058,0.055796,0.028796,0.038796,0.045796,0.032796,0.031058,0.033796,0.032796,0.017796
o3,10,Minimal Context,0.210156,0.144167,0.107438,0.073838,0.092437,0.064638,0.032638,0.046638,0.053638,0.037638,0.036437,0.038638,0.037638,0.021638
