Prompting_Approach,Model,Iteration,Distance to Power Transmission Lines,Slope,Distance to Rivers and Lakes,Distance from Fault Lines,Distance to Protected Areas,Land Use,Distance to Bird Migration Routes,Distance to Transformers,Aspect (Slope Direction),Altitude,Distance to Settlements,Solar Radiation,Distance to Airports,Distance to Highways
Expert_Panel,Gemini_2.5_Pro,3,0.09256,0.01983,0.03752,0.02892,0.16095,0.20739,0.0208,0.07606,0.0125,0.01715,0.04443,0.20441,0.02347,0.05401
Expert_Panel,o3,1,0.11999,0.09,0.04,0.05,0.05,0.08001,0.04,0.1,0.06,0.04,0.05,0.21999,0.02501,0.035
Expert_Panel,o3,2,0.14766,0.10074,0.03919,0.06304,0.05035,0.12073,0.03919,0.07832,0.07048,0.03053,0.03919,0.18201,0.0153,0.02328
Expert_Panel,o3,3,0.10909,0.07273,0.05455,0.05455,0.07273,0.09091,0.03636,0.10909,0.07273,0.03636,0.03636,0.16364,0.03636,0.05455
Minimal_Context,Claude_3.7,1,0.14975,0.06371,0.02057,0.093,0.04149,0.11824,0.01787,0.08653,0.01351,0.02916,0.04745,0.24682,0.02802,0.04389
Minimal_Context,Claude_3.7,2,0.12931,0.05039,0.0241,0.06343,0.07346,0.0706,0.04145,0.11947,0.01709,0.02392,0.04721,0.24134,0.04272,0.05549
Minimal_Context,Claude_3.7,3,0.14077,0.07444,0.02122,0.0546,0.0369,0.101,0.03719,0.08483,0.01673,0.02533,0.04618,0.2714,0.04011,0.0493
Minimal_Context,Claude_3.7_Thinking,1,0.10242,0.1388,0.01421,0.0627,0.07884,0.18371,0.01096,0.04017,0.0545,0.01816,0.02597,0.23759,0.00924,0.02272
Minimal_Context,Claude_3.7_Thinking,2,0.08434,0.05798,0.02222,0.0373,0.10437,0.15234,0.01485,0.06966,0.02644,0.01603,0.0363,0.31674,0.0236,0.03782
Minimal_Context,Claude_3.7_Thinking,3,0.13052,0.0852,0.02239,0.03592,0.05791,0.11537,0.01538,0.0852,0.04064,0.02432,0.06615,0.24203,0.02239,0.05658
Minimal_Context,DeepSeek_R1,1,0.06155,0.11733,0.02754,0.10254,0.02892,0.06306,0.0138,0.11733,0.0138,0.02846,0.11733,0.26606,0.0138,0.02846
Minimal_Context,DeepSeek_R1,2,0.02828,0.05911,0.01541,0.11064,0.19041,0.1027,0.00989,0.02828,0.05911,0.0158,0.05911,0.26121,0.00989,0.05017
Minimal_Context,DeepSeek_R1,3,0.06149,0.11524,0.01621,0.18029,0.09515,0.09515,0.01621,0.06149,0.01621,0.01621,0.03492,0.24029,0.01621,0.03492
Minimal_Context,GPT_4.1,1,0.14087,0.06428,0.05235,0.06428,0.03188,0.01554,0.02442,0.14192,0.02234,0.02407,0.06854,0.2561,0.02281,0.07062
Minimal_Context,GPT_4.1,2,0.11352,0.05494,0.04533,0.03741,0.03025,0.16635,0.02945,0.08083,0.0285,0.02521,0.03938,0.26634,0.02686,0.05564
Minimal_Context,GPT_4.1,3,0.18443,0.06279,0.06372,0.05565,0.03714,0.03006,0.0219,0.08626,0.02377,0.0515,0.02032,0.25025,0.04421,0.068
Minimal_Context,Gemini_2.5_Pro,1,0.08509,0.03593,0.02315,0.05981,0.12047,0.19324,0.01612,0.0547,0.02488,0.01233,0.05732,0.25639,0.02378,0.03679
Minimal_Context,Gemini_2.5_Pro,2,0.0701,0.03842,0.01877,0.13802,0.13802,0.0989,0.02586,0.04955,0.01792,0.01272,0.02642,0.30102,0.01792,0.04634
Minimal_Context,Gemini_2.5_Pro,3,0.0823,0.05614,0.01755,0.02563,0.32037,0.05652,0.03875,0.0823,0.02563,0.01095,0.01755,0.21571,0.01238,0.03824
Minimal_Context,o3,1,0.14666,0.09783,0.05204,0.06176,0.07773,0.09087,0.02856,0.06743,0.02856,0.03709,0.06743,0.19954,0.01855,0.02595
Minimal_Context,o3,2,0.16481,0.11623,0.03999,0.03508,0.07183,0.09853,0.03159,0.09742,0.02509,0.01876,0.05773,0.17592,0.01568,0.05134
Minimal_Context,o3,3,0.1399,0.09001,0.04003,0.07995,0.07015,0.11003,0.04995,0.04995,0.02998,0.04995,0.06003,0.17006,0.01998,0.04003
